"sample_id","genusspecies","individual","K","MPa"
"cycsem_1_0.0","cycsem",1,2.93040422505611,0
"cycsem_1_0.5","cycsem",1,2.51928972037558,0.5
"cycsem_1_1.0","cycsem",1,2.02393783916177,1
"cycsem_1_1.5","cycsem",1,1.88996398620258,1.5
"cycsem_1_2.0","cycsem",1,0.811454238821983,2
"cycsem_1_2.5","cycsem",1,0.385015401909707,2.5
"cycsem_1_3.0","cycsem",1,0.102056098110747,3
"cycsem_2_0.0","cycsem",2,5.07612688486868,0
"cycsem_2_0.5","cycsem",2,3.97858677399307,0.5
"cycsem_2_1.0","cycsem",2,2.72135336847493,1
"cycsem_2_1.5","cycsem",2,1.26053059202439,1.5
"cycsem_2_2.0","cycsem",2,0.457625315639876,2
"cycsem_2_2.5","cycsem",2,0.593065806761598,2.5
"cycsem_2_3.0","cycsem",2,0.034100484391309,3
"cycsem_3_0.0","cycsem",3,1.51537406561438,0
"cycsem_3_0.5","cycsem",3,1.0854141403805,0.5
"cycsem_3_1.0","cycsem",3,1.2487846676305,1
"cycsem_3_1.5","cycsem",3,0.790935156290676,1.5
"cycsem_3_2.0","cycsem",3,0.500571447307682,2
"cycsem_3_2.5","cycsem",3,0.16801822134715,2.5
"cycsem_3_3.0","cycsem",3,0.118234439404957,3
"cycsem_4_0.0","cycsem",4,3.73404001963644,0
"cycsem_4_0.5","cycsem",4,3.42085671025053,0.5
"cycsem_4_1.0","cycsem",4,3.45710755030746,1
"cycsem_4_1.5","cycsem",4,2.73444124136669,1.5
"cycsem_4_2.0","cycsem",4,2.19639881663241,2
"cycsem_4_2.5","cycsem",4,2.13487204487999,2.5
"cycsem_4_3.0","cycsem",4,1.70362874032624,3
"cycsem_4_3.5","cycsem",4,0.854151316544433,3.5
"cycsem_4_4.0","cycsem",4,0.296486335074478,4
"cycsem_5_0.0","cycsem",5,2.10007646856731,0
"cycsem_5_0.5","cycsem",5,1.72756431553157,0.5
"cycsem_5_1.0","cycsem",5,1.74457869375505,1
"cycsem_5_1.5","cycsem",5,1.1088977124276,1.5
"cycsem_5_2.0","cycsem",5,0.222461178479343,2
"cycsem_5_2.5","cycsem",5,-0.0216993796058214,2.5
"cycsem_6_0.0","cycsem",6,1.1345011367867,0
"cycsem_6_0.5","cycsem",6,0.853672627655413,0.5
"cycsem_6_1.0","cycsem",6,0.759163820208298,1
"cycsem_6_1.5","cycsem",6,0.599685429037245,1.5
"cycsem_6_2.0","cycsem",6,0.156283664231876,2
"cycsem_6_2.5","cycsem",6,0.254810511430034,2.5
"cycsem_6_3.0","cycsem",6,0.176622875027402,3
"elalat_1_0.0","elalat",1,0.611256702589723,0
"elalat_1_0.5","elalat",1,0.296051516068036,0.5
"elalat_1_1.0","elalat",1,0.300283342658007,1
"elalat_1_1.5","elalat",1,0.25203473267331,1.5
"elalat_1_2.0","elalat",1,0.0185123439129522,2
"elalat_2_0.0","elalat",2,0.34698807343863,0
"elalat_2_0.5","elalat",2,0.143595826385617,0.5
"elalat_2_1.0","elalat",2,0.209126374394202,1
"elalat_2_1.5","elalat",2,0.122938166174275,1.5
"elalat_2_2.0","elalat",2,0.137378855254216,2
"elalat_2_2.5","elalat",2,0.0613271762337231,2.5
"elalat_2_3.0","elalat",2,NA,3
"elalat_3_0.0","elalat",3,0.519104224615576,0
"elalat_3_0.5","elalat",3,0.369770257072268,0.5
"elalat_3_1.0","elalat",3,0.36482512850047,1
"elalat_3_1.5","elalat",3,0.0359960896893157,1.5
"elalat_3_2.0","elalat",3,0.0539685435973346,2
"elalat_3_2.5","elalat",3,0.0836070229692055,2.5
"elalat_3_3.0","elalat",3,0.0805559100016722,3
"elalat_4_0.0","elalat",4,0.914120402893766,0
"elalat_4_0.5","elalat",4,0.593755070721686,0.5
"elalat_4_1.0","elalat",4,0.566223190376294,1
"elalat_4_1.5","elalat",4,0.221082393669341,1.5
"elalat_4_2.0","elalat",4,0.351402120342352,2
"elalat_4_2.5","elalat",4,0.216286728711851,2.5
"elalat_4_3.0","elalat",4,0.128973099351521,3
"elalat_4_3.5","elalat",4,0.142905557594714,3.5
"elalat_5_0.0","elalat",5,0.931677015614786,0
"elalat_5_0.5","elalat",5,0.498442397859802,0.5
"elalat_5_1.0","elalat",5,0.126367162175172,1
"elalat_5_1.5","elalat",5,0.148000063034217,1.5
"elalat_5_2.0","elalat",5,0.192908381035947,2
"elalat_5_2.5","elalat",5,0.0691387274998176,2.5
"elalat_5_3.0","elalat",5,0.00242479577265868,3
"elalat_6_0.0","elalat",6,0.365552335468772,0
"elalat_6_0.5","elalat",6,0.245753560572497,0.5
"elalat_6_1.0","elalat",6,0.202488724980075,1
"elalat_6_1.5","elalat",6,0.218756242718649,1.5
"elalat_6_2.0","elalat",6,0.206771747017952,2
"elalat_6_2.5","elalat",6,0.0242696722723198,2.5
"lomjap_2_0.0","lomjap",2,1.10517229941996,0
"lomjap_2_0.5","lomjap",2,1.09158058233256,0.5
"lomjap_2_1.0","lomjap",2,0.680093519612727,1
"lomjap_2_1.5","lomjap",2,0.778413185915873,1.5
"lomjap_2_2.0","lomjap",2,0.75092286096626,2
"lomjap_2_2.5","lomjap",2,0.375508416742313,2.5
"lomjap_2_3.0","lomjap",2,0.388282711273769,3
"lomjap_2_3.5","lomjap",2,0.417682555159306,3.5
"lomjap_2_4.0","lomjap",2,0.00941008085989906,4
"lomjap_3_0.0","lomjap",3,2.86133121138184,0
"lomjap_3_0.5","lomjap",3,2.19160391971187,0.5
"lomjap_3_1.0","lomjap",3,1.56365770582646,1
"lomjap_3_1.5","lomjap",3,1.70412235252812,1.5
"lomjap_3_2.0","lomjap",3,0.725480812449376,2
"lomjap_3_2.5","lomjap",3,0.399912612781989,2.5
"lomjap_3_3.0","lomjap",3,0.175276244355656,3
"lomjap_4_0.0","lomjap",4,4.21121430310836,0
"lomjap_4_0.5","lomjap",4,3.43180228869987,0.5
"lomjap_4_1.0","lomjap",4,3.07232312393754,1
"lomjap_4_1.5","lomjap",4,1.62782683556802,1.5
"lomjap_4_2.0","lomjap",4,2.51732503398133,2
"lomjap_4_2.5","lomjap",4,2.17039559064877,2.5
"lomjap_4_3.0","lomjap",4,0.415374214012704,3
"lomjap_5_0.0","lomjap",5,1.16872866660264,0
"lomjap_5_0.5","lomjap",5,1.15700050235547,0.5
"lomjap_5_1.0","lomjap",5,1.0828274663889,1
"lomjap_5_1.5","lomjap",5,0.795396218509177,1.5
"lomjap_5_2.0","lomjap",5,0.558991586477259,2
"lomjap_5_2.5","lomjap",5,0.461418952649609,2.5
"lomjap_5_3.0","lomjap",5,0.193518167127048,3
"lomjap_5_4.0","lomjap",5,-0.0131463495963895,4
"lomjap_6_0.0","lomjap",6,3.00372219144425,0
"lomjap_6_0.5","lomjap",6,1.94043110277045,0.5
"lomjap_6_1.0","lomjap",6,1.67824242122493,1
"lomjap_6_1.5","lomjap",6,1.28955755176303,1.5
"lomjap_6_2.0","lomjap",6,1.09973935741806,2
"lomjap_6_2.5","lomjap",6,0.68103000987797,2.5
"lomjap_6_3.0","lomjap",6,0.614554725961808,3
"lomjap_6_4.0","lomjap",6,-0.000213843162544352,4
"phlaur_1_0.0","phlaur",1,3.76233843433868,0
"phlaur_1_0.5","phlaur",1,2.658845620965,0.5
"phlaur_1_1.0","phlaur",1,2.4332477231062,1
"phlaur_1_1.5","phlaur",1,2.77391268664816,1.5
"phlaur_1_2.0","phlaur",1,0.432266429662795,2
"phlaur_1_2.5","phlaur",1,0.0601094320133311,2.5
"phlaur_2_0.0","phlaur",2,2.26955282878269,0
"phlaur_2_0.5","phlaur",2,1.92024038724912,0.5
"phlaur_2_1.0","phlaur",2,1.96925615142582,1
"phlaur_2_1.5","phlaur",2,1.70006744982581,1.5
"phlaur_2_2.0","phlaur",2,0.867166392110022,2
"phlaur_2_2.5","phlaur",2,0.142881212195984,2.5
"phlaur_3_0.0","phlaur",3,4.22254696197431,0
"phlaur_3_0.5","phlaur",3,3.60241988815489,0.5
"phlaur_3_1.0","phlaur",3,3.68711322237445,1
"phlaur_3_1.5","phlaur",3,3.12010487357613,1.5
"phlaur_3_2.0","phlaur",3,0.919121086214646,2
"phlaur_3_2.5","phlaur",3,0.107624515708094,2.5
"phlaur_4_0.0","phlaur",4,4.60658724485411,0
"phlaur_4_0.5","phlaur",4,3.94191571053646,0.5
"phlaur_4_1.0","phlaur",4,4.00980628017722,1
"phlaur_4_1.5","phlaur",4,1.24755097666568,1.5
"phlaur_4_2.0","phlaur",4,0.65976174519468,2
"phlaur_4_2.5","phlaur",4,0.0530740471934933,2.5
"phlaur_5_0.0","phlaur",5,4.49521831376635,0
"phlaur_5_0.5","phlaur",5,3.98256692610565,0.5
"phlaur_5_1.0","phlaur",5,4.33750662157454,1
"phlaur_5_1.5","phlaur",5,3.64621757335353,1.5
"phlaur_5_2.0","phlaur",5,1.43382351262294,2
"phlaur_5_2.5","phlaur",5,0.902454529109274,2.5
"phlaur_5_3.0","phlaur",5,0.1954603970448,3
"phlaur_6_0.0","phlaur",6,2.49561192953062,0
"phlaur_6_0.5","phlaur",6,1.94069778872162,0.5
"phlaur_6_1.0","phlaur",6,1.95898646037441,1
"phlaur_6_1.5","phlaur",6,0.750494403010579,1.5
"phlaur_6_2.0","phlaur",6,0.0824329258672537,2
"polosm_1_0.0","polosm",1,3.06177107423131,0
"polosm_1_0.5","polosm",1,NA,0.5
"polosm_1_1.0","polosm",1,1.10576350352782,1
"polosm_1_1.5","polosm",1,1.48084181427855,1.5
"polosm_1_2.0","polosm",1,0.333411001606435,2
"polosm_1_2.5","polosm",1,0.0374421911892307,2.5
"polosm_2_0.0","polosm",2,2.88205868095719,0
"polosm_2_0.5","polosm",2,2.07989157745875,0.5
"polosm_2_1.0","polosm",2,1.2687661633767,1
"polosm_2_1.5","polosm",2,0.599634971476379,1.5
"polosm_2_2.0","polosm",2,-0.00382426016691965,2
"polosm_3_0.0","polosm",3,6.37329147638692,0
"polosm_3_0.5","polosm",3,3.41709262296622,0.5
"polosm_3_1.0","polosm",3,3.31883673879669,1
"polosm_3_1.5","polosm",3,1.50469195142328,1.5
"polosm_3_2.0","polosm",3,0.229578584487956,2
"polosm_4_0.0","polosm",4,1.85339876268257,0
"polosm_4_0.5","polosm",4,1.10506675889466,0.5
"polosm_4_1.0","polosm",4,0.953306333502979,1
"polosm_4_1.5","polosm",4,1.40276370354874,1.5
"polosm_4_2.0","polosm",4,0.915108077706905,2
"polosm_4_2.5","polosm",4,0.0948676077251131,2.5
"polosm_4_3.0","polosm",4,-0.000385283794877293,3
"polosm_5_0.0","polosm",5,NA,0
"polosm_5_0.5","polosm",5,2.18848358548132,0.5
"polosm_5_1.0","polosm",5,1.04847118796574,1
"polosm_5_1.5","polosm",5,1.0063578217881,1.5
"polosm_5_2.0","polosm",5,0.208228014253897,2
"polosm_5_2.5","polosm",5,0.111382204863756,2.5
"polosm_6_0.0","polosm",6,2.00247390314764,0
"polosm_6_0.5","polosm",6,1.22258790186247,0.5
"polosm_6_1.0","polosm",6,1.39903630746383,1
"polosm_6_1.5","polosm",6,1.3902313790246,1.5
"polosm_6_2.0","polosm",6,0.155699024014584,2
"polosm_6_2.5","polosm",6,0.00809602291259265,2.5
"tecinc_1_0.0","tecinc",1,11.2880690909642,0
"tecinc_1_0.5","tecinc",1,5.00676292115984,0.5
"tecinc_1_1.0","tecinc",1,5.35980462250044,1
"tecinc_1_1.5","tecinc",1,2.26199214577022,1.5
"tecinc_1_2.0","tecinc",1,1.02753622074789,2
"tecinc_1_2.5","tecinc",1,0.365836537139035,2.5
"tecinc_2_0.0","tecinc",2,7.56510914039976,0
"tecinc_2_0.5","tecinc",2,6.15232943838083,0.5
"tecinc_2_1.0","tecinc",2,2.0359273176323,1
"tecinc_2_1.5","tecinc",2,1.76171726964089,1.5
"tecinc_2_2.0","tecinc",2,0.866082968748169,2
"tecinc_2_2.5","tecinc",2,0.229686086604722,2.5
"tecinc_3_0.0","tecinc",3,6.87535209733675,0
"tecinc_3_0.5","tecinc",3,2.3902347352866,0.5
"tecinc_3_1.0","tecinc",3,1.928801175536,1
"tecinc_3_1.5","tecinc",3,1.20671374063196,1.5
"tecinc_3_2.0","tecinc",3,0.969100905544107,2
"tecinc_3_2.5","tecinc",3,0.386325621113664,2.5
"tecinc_4_0.0","tecinc",4,9.08742246316151,0
"tecinc_4_0.5","tecinc",4,3.89280929474549,0.5
"tecinc_4_1.0","tecinc",4,3.40748360124565,1
"tecinc_4_1.5","tecinc",4,2.62743366967889,1.5
"tecinc_4_2.0","tecinc",4,30.4727016023495,2
"tecinc_4_2.5","tecinc",4,0.696262160377778,2.5
"tecinc_5_0.0","tecinc",5,3.42548414109851,0
"tecinc_5_0.5","tecinc",5,1.66286081051921,0.5
"tecinc_5_1.0","tecinc",5,0.165332129203744,1
"tecinc_5_1.5","tecinc",5,0.0613849780269372,1.5
"tecinc_6_0.0","tecinc",6,6.88281269132497,0
"tecinc_6_0.5","tecinc",6,4.22770042066704,0.5
"tecinc_6_1.0","tecinc",6,3.99263160664019,1
"tecinc_6_1.5","tecinc",6,1.79148588606865,1.5
"tecinc_6_2.0","tecinc",6,0.839408657202068,2
"tecinc_6_2.5","tecinc",6,0.160271674302339,2.5
